X86 软路由|x86/64|generic
华硕 Rt Ac58u|ipq40xx/generic|asus_rt-ac58u
AVM Fritzbox 4040|ipq40xx/generic|avm_fritzbox-4040
AVM Fritzbox 7530|ipq40xx/generic|avm_fritzbox-7530
AVM Fritzrepeater 1200|ipq40xx/generic|avm_fritzrepeater-1200
AVM Fritzrepeater 3000|ipq40xx/generic|avm_fritzrepeater-3000
巴法络 Wtr M2133hp|ipq40xx/generic|buffalo_wtr-m2133hp
CellC Rtl30vw|ipq40xx/generic|cellc_rtl30vw
Dlink Dap 2610|ipq40xx/generic|dlink_dap-2610
智邦 Ecw5211|ipq40xx/generic|edgecore_ecw5211
EnGenius Eap1300|ipq40xx/generic|engenius_eap1300
Extreme Ws Ap3915i|ipq40xx/generic|extreme-networks_ws-ap3915i
萤石 Cs W3 Wd1200g Eup|ipq40xx/generic|ezviz_cs-w3-wd1200g-eup
GL.iNet Gl A1300|ipq40xx/generic|glinet_gl-a1300
GL.iNet Gl Ap1300|ipq40xx/generic|glinet_gl-ap1300
GL.iNet Gl B1300|ipq40xx/generic|glinet_gl-b1300
GL.iNet Gl B2200|ipq40xx/generic|glinet_gl-b2200
领势 Ea6350v3|ipq40xx/generic|linksys_ea6350v3
领势 Ea8300|ipq40xx/generic|linksys_ea8300
领势 Mr8300|ipq40xx/generic|linksys_mr8300
领势 Whw01|ipq40xx/generic|linksys_whw01
领势 Whw03v2|ipq40xx/generic|linksys_whw03v2
Luma Wrtq 329acn|ipq40xx/generic|luma_wrtq-329acn
Meraki Mr33|ipq40xx/generic|meraki_mr33
Meraki Mr74|ipq40xx/generic|meraki_mr74
MobiPromo Cm520 79f|ipq40xx/generic|mobipromo_cm520-79f
网件 Ex6100v2|ipq40xx/generic|netgear_ex6100v2
网件 Ex6150v2|ipq40xx/generic|netgear_ex6150v2
网件 Rbr50|ipq40xx/generic|netgear_rbr50
网件 Rbs50|ipq40xx/generic|netgear_rbs50
网件 Srr60|ipq40xx/generic|netgear_srr60
网件 Srs60|ipq40xx/generic|netgear_srs60
网件 Wac510|ipq40xx/generic|netgear_wac510
OpenMesh A42|ipq40xx/generic|openmesh_a42
OpenMesh A62|ipq40xx/generic|openmesh_a62
P2W R619ac 128m|ipq40xx/generic|p2w_r619ac-128m
P2W R619ac 64m|ipq40xx/generic|p2w_r619ac-64m
Pakedge Wr 1|ipq40xx/generic|pakedge_wr-1
PlasmaCloud Pa1200|ipq40xx/generic|plasmacloud_pa1200
PlasmaCloud Pa2200|ipq40xx/generic|plasmacloud_pa2200
Qxwlan E2600ac C1|ipq40xx/generic|qxwlan_e2600ac-c1
Qxwlan E2600ac C2|ipq40xx/generic|qxwlan_e2600ac-c2
索尼 Ncp Hg100 Cellular|ipq40xx/generic|sony_ncp-hg100-cellular
Teltonika Rutx50|ipq40xx/generic|teltonika_rutx50
Wallys Dr40x9|ipq40xx/generic|wallys_dr40x9
中兴 Mf18a|ipq40xx/generic|zte_mf18a
中兴 Mf286d|ipq40xx/generic|zte_mf286d
中兴 Mf287|ipq40xx/generic|zte_mf287
中兴 Mf287plus|ipq40xx/generic|zte_mf287plus
中兴 Mf287pro|ipq40xx/generic|zte_mf287pro
中兴 Mf289f|ipq40xx/generic|zte_mf289f
合勤 Nbg6617|ipq40xx/generic|zyxel_nbg6617
香蕉派 Bpi R64|mediatek/mt7622|bananapi_bpi-r64
巴法络 Wsr 2533dhp2|mediatek/mt7622|buffalo_wsr-2533dhp2
巴法络 Wsr 3200ax4s|mediatek/mt7622|buffalo_wsr-3200ax4s
Dlink Eagle Pro Ai M32 A1|mediatek/mt7622|dlink_eagle-pro-ai-m32-a1
Dlink Eagle Pro Ai R32 A1|mediatek/mt7622|dlink_eagle-pro-ai-r32-a1
日电 Wrc 2533gent|mediatek/mt7622|elecom_wrc-2533gent
日电 Wrc X3200gst3|mediatek/mt7622|elecom_wrc-x3200gst3
领势 E8450|mediatek/mt7622|linksys_e8450
领势 E8450 Ubi|mediatek/mt7622|linksys_e8450-ubi
联发科 Mt7622 Rfb1|mediatek/mt7622|mediatek_mt7622-rfb1
联发科 Mt7622 Rfb1 Ubi|mediatek/mt7622|mediatek_mt7622-rfb1-ubi
网件 Wax206|mediatek/mt7622|netgear_wax206
Reyee Ax3200 E5|mediatek/mt7622|reyee_ax3200-e5
锐捷 Rg Ew3200gx Pro|mediatek/mt7622|ruijie_rg-ew3200gx-pro
TOTOLINK A8000ru|mediatek/mt7622|totolink_a8000ru
Ubiquiti Unifi 6 Lr V1|mediatek/mt7622|ubnt_unifi-6-lr-v1
Ubiquiti Unifi 6 Lr V1 Ubootmod|mediatek/mt7622|ubnt_unifi-6-lr-v1-ubootmod
Ubiquiti Unifi 6 Lr V2|mediatek/mt7622|ubnt_unifi-6-lr-v2
Ubiquiti Unifi 6 Lr V2 Ubootmod|mediatek/mt7622|ubnt_unifi-6-lr-v2-ubootmod
Ubiquiti Unifi 6 Lr V3|mediatek/mt7622|ubnt_unifi-6-lr-v3
Ubiquiti Unifi 6 Lr V3 Ubootmod|mediatek/mt7622|ubnt_unifi-6-lr-v3-ubootmod
小米 Redmi Router Ax6s (mt7622)|mediatek/mt7622|xiaomi_redmi-router-ax6s
